,county,state,latitude,longitude,date
2,Washington County,Rhode Island,41.45,-71.5,1974-09-20
5,Washita County,Oklahoma,35.3011,-99.1702,1973-09-28
6,Washington County,Ohio,39.38745,-81.67339,1971-08-01
7,Westchester County,New York,41.29873,-73.73716999999999,2010-09-01
8,Washoe County,Nevada,39.592,-119.975,1970-09-01
10,Sullivan County,New Hampshire,43.415490000000005,-72.33093000000001,2016-06-07
11,Thurston County,Nebraska,42.15685,-96.34203000000001,2018-05-25
12,Ward County,North Dakota,48.254220000000004,-101.3166,2000-04-21
13,Yancey County,North Carolina,35.74875,-82.26195,1988-03-15
14,Stillwater County,Montana,45.31278,-109.6449,1971-12-15
15,Silver Bow County,Montana,46.05292,-112.571,1988-12-15
16,Silver Bow County,Montana,45.9754,-112.4554,2007-08-15
17,Yancey County,North Carolina,35.75278,-82.22121,2011-08-21
18,Warren County,New Jersey,40.76345,-75.11044,2005-12-21
19,Warren County,New Jersey,40.8192,-74.85561,2007-03-31
21,Warren County,New Jersey,40.89452,-74.79077,2015-10-02
22,Taos County,New Mexico,36.599000000000004,-105.4113,2000-05-17
23,Taos County,New Mexico,36.19625,-105.5596,2006-10-02
25,Taos County,New Mexico,36.65339,-105.9678,2011-02-20
26,Washoe County,Nevada,39.679,-119.6665,1972-08-15
27,Washoe County,Nevada,39.679,-119.6665,1972-08-25
28,Washington County,Ohio,39.408770000000004,-81.73172,1978-07-04
29,Washington County,Ohio,39.54739,-81.39101,1978-11-01
30,Washington County,Ohio,39.460190000000004,-81.54855,1984-07-04
31,Washington County,Ohio,39.3731,-81.65929,1990-07-01
32,Washington County,Ohio,39.42635,-81.37085,2009-10-31
34,Washington County,Rhode Island,41.431999999999995,-71.65183,1978-07-15
35,Washington County,Rhode Island,41.4596,-71.58906,2006-11-03
37,Sanders County,Montana,47.62167,-115.3903,2004-03-14
38,Richland County,Montana,47.70667,-104.1922,1979-12-31
39,Ravalli County,Montana,46.02962,-113.1198,1991-10-11
40,Phillips County,Montana,47.66724,-108.6873,2011-01-08
41,Park County,Montana,46.01833,-110.3308,1989-05-20
42,Missoula County,Montana,46.97694,-113.8381,1977-07-14
43,Meagher County,Montana,46.76389,-110.7781,2010-05-29
44,Madison County,Montana,45.122659999999996,-111.56299999999999,1978-10-21
45,Lincoln County,Montana,48.270109999999995,-115.6418,1978-07-04
46,Lewis And Clark County,Montana,46.764720000000004,-111.8861,1977-08-16
47,Jefferson County,Montana,46.24,-111.75,2019-03-09
48,Granite County,Montana,46.18694,-113.6925,1994-09-30
49,Glacier County,Montana,48.36139,-113.1236,1982-10-02
50,Gallatin County,Montana,45.22417,-111.125,1993-06-03
51,Flathead County,Montana,47.60413,-113.7593,2010-03-20
52,Flathead County,Montana,47.57549,-144.0265,2012-09-16
53,Flathead County,Montana,47.985209999999995,-113.9818,2019-06-12
54,Gallatin County,Montana,45.14665,-111.0834,1993-07-03
55,Gallatin County,Montana,45.7922,-111.3637,2015-11-26
56,Gallatin County,Montana,45.61331,-110.7897,2016-05-30
57,Glacier County,Montana,48.68,-113.82,2003-06-18
58,Granite County,Montana,46.30766,-113.1424,2010-10-22
59,Lewis And Clark County,Montana,47.07444,-111.9625,1981-12-20
60,Lewis And Clark County,Montana,47.04333,-112.7031,1982-06-30
61,Lewis And Clark County,Montana,47.07954,-112.5649,1990-11-10
62,Lewis And Clark County,Montana,46.83285,-112.70200000000001,1994-07-12
63,Lewis And Clark County,Montana,47.12806,-111.9094,2004-01-18
66,Meagher County,Montana,46.596920000000004,-110.6268,2012-12-02
67,Mineral County,Montana,47.439040000000006,-115.6545,2020-04-15
68,Missoula County,Montana,47.03222,-114.0906,1989-07-13
69,Missoula County,Montana,47.060320000000004,-114.0717,2004-07-20
70,Missoula County,Montana,46.75889,-114.08,2005-01-23
71,Missoula County,Montana,46.96508,-114.0725,2006-09-13
74,Missoula County,Montana,46.5252,-113.5911,2012-07-20
75,Missoula County,Montana,46.93335,-113.8334,2018-06-19
76,Park County,Montana,45.66722,-110.8069,2001-08-22
77,Ravalli County,Montana,45.82285,-114.0125,2005-09-20
78,Roosevelt County,Montana,48.032779999999995,-105.8642,1984-10-27
79,Sanders County,Montana,47.25335,-114.45,2017-12-01
80,Cascade County,Montana,47.178329999999995,-111.9744,1982-03-14
81,Carbon County,Montana,45.28074,-109.5528,2012-06-30
82,Broadwater County,Montana,46.48392,-111.2644,2012-11-24
83,Big Horn County,Montana,45.0262,-106.8331,2007-01-15
84,Beaverhead County,Montana,45.3705,-112.9707,2012-06-24
85,Yadkin County,North Carolina,36.09945,-80.7704,1971-10-01
86,Warren County,North Carolina,36.21335,-78.09365,1983-11-15
87,Transylvania County,North Carolina,35.1685,-82.488,2011-09-10
88,Swain County,North Carolina,35.5131,-83.5582,1975-07-12
89,Surry County,North Carolina,36.382870000000004,-80.46865,1999-01-16
90,Stokes County,North Carolina,36.48615,-80.375,2007-05-10
91,Stanly County,North Carolina,35.2256,-80.26915,1994-11-30
92,Sampson County,North Carolina,35.186370000000004,-78.63611,1976-11-15
93,Rutherford County,North Carolina,35.451,-82.287,1991-03-15
94,Robeson County,North Carolina,34.5287,-79.26708,2015-10-13
95,Richmond County,North Carolina,35.0554,-79.88049000000001,2008-10-18
96,Swain County,North Carolina,35.5605,-83.5214,1998-01-05
98,Swain County,North Carolina,35.33783,-83.52991999999999,2020-01-31
99,Wilkes County,North Carolina,36.31126,-81.30889,1978-08-24
100,Wilkes County,North Carolina,36.0055,-81.08335,2019-11-18
101,Yadkin County,North Carolina,36.134,-80.66,1976-12-12
102,Randolph County,North Carolina,35.56577,-79.75537,2012-08-17
103,Polk County,North Carolina,35.28195,-82.39165,2011-10-04
104,Person County,North Carolina,36.31625,-79.03025,1997-11-15
105,Pender County,North Carolina,34.3924,-77.7485,1998-03-31
106,Pasquotank County,North Carolina,36.3715,-76.29115,1982-10-01
107,Orange County,North Carolina,36.2058,-78.968,2004-05-12
108,Onslow County,North Carolina,34.6894,-77.2914,1965-10-01
109,Nash County,North Carolina,36.0089,-77.90525,1979-07-18
110,Mitchell County,North Carolina,35.8934,-81.98335,2000-09-09
